system:index,total_precipitation_hourly
20110116T06,1.2367297338194685E-5
20110116T07,2.663035335077536E-5
20110116T08,7.878028399062475E-6
20110116T09,6.633431724080415E-6
20110116T10,8.117862983806593E-6
20110116T11,2.100518718910017E-6
20110116T12,6.41596438857112E-7
20110116T13,1.2706727533555335E-6
20110116T14,7.685131725902292E-8
20110116T15,2.013671938660497E-8
20110116T16,0.0
20110116T17,0.0
20110116T18,0.0
20110116T19,0.0
20110116T20,0.0
20110116T21,8.583872319518272E-7
20110116T22,-6.695481229848363E-10
20110116T23,-7.171265498514954E-10
20110117T00,-2.6928289819900195E-10
20110117T01,1.1906905658450625E-9
20110117T02,2.6062203556215498E-8
20110117T03,1.378457678858009E-7
20110117T04,1.6630221721193042E-7
20110117T05,1.0832638907949874E-6
20110117T06,2.915593811634531E-6
20110117T07,8.276078261378156E-7
20110117T08,3.0805190591374063E-6
20110117T09,4.19171803923239E-6
20110117T10,5.613981125741163E-6
20110117T11,5.921041790044203E-6
20110117T12,5.8234304482694195E-6
20110117T13,5.624945377482038E-6
20110117T14,1.8191721618655482E-6
20110117T15,1.3466508965750305E-6
20110117T16,1.5149709239461054E-5
20110117T17,9.686652238092289E-5
20110117T18,3.5845256958311115E-5
20110117T19,6.620174344708751E-6
20110117T20,6.958689146846047E-6
20110117T21,9.057232577948482E-6
20110117T22,1.4790474535866357E-5
20110117T23,4.24255542969134E-5
20110118T00,2.2805444212311E-5
20110118T01,1.5163498774641621E-5
20110118T02,2.059092723920607E-5
20110118T03,2.079550951724594E-5
20110118T04,1.590293564796048E-5
20110118T05,8.872280258562784E-6
20110118T06,1.3806672046082647E-5
20110118T07,1.07400453921539E-5
20110118T08,1.1115049341536082E-5
20110118T09,1.6002915027945057E-5
20110118T10,2.5742816055598542E-5
20110118T11,6.828878882948197E-5
20110118T12,7.001809385313744E-5
20110118T13,1.379219153405329E-4
20110118T14,7.991687669812909E-5
20110118T15,9.595144849749086E-5
20110118T16,1.188162224894127E-4
20110118T17,1.5380364337489328E-4
20110118T18,1.7911853330339618E-4
20110118T19,2.10665560377369E-4
20110118T20,1.1404965374023898E-4
20110118T21,9.202375463810024E-5
20110118T22,8.865707485391423E-5
20110118T23,6.621811069515298E-5
20110119T00,4.5677549809897734E-5
20110119T01,4.237922479515856E-5
20110119T02,3.7383834933941623E-5
20110119T03,3.252753334715896E-5
20110119T04,3.115808025061213E-5
20110119T05,2.52151576591922E-5
20110119T06,2.1273703524046617E-5
20110119T07,2.3678728805960503E-5
20110119T08,2.0194431232003228E-5
20110119T09,3.609414743444947E-5
20110119T10,7.430814908577357E-5
20110119T11,8.070915731485717E-5
20110119T12,7.731131843966023E-5
20110119T13,6.98832970411893E-5
