system:index,total_evaporation_hourly
20110123T13,-1.714672081750343E-5
20110123T14,-1.4732346267043336E-5
20110123T15,-9.837381562917915E-6
20110123T16,-3.2289830616735786E-6
20110123T17,-3.098873622016217E-7
20110123T18,-5.919104745917792E-8
20110123T19,3.2158860231107224E-7
20110123T20,4.780394827456708E-7
20110123T21,4.74048551630311E-7
20110123T22,6.423596404162986E-7
20110123T23,7.940923828794651E-7
20110124T00,7.326227072778483E-7
20110124T01,7.165250410194819E-7
20110124T02,1.1936784407067736E-6
20110124T03,9.700471447576084E-7
20110124T04,6.6586203958224E-7
20110124T05,1.9643417901313739E-7
20110124T06,4.2917177019652873E-7
20110124T07,7.172958071742413E-7
20110124T08,-7.435420793735092E-7
20110124T09,-9.184188423409253E-6
20110124T10,-2.2625953180044854E-5
20110124T11,-4.0426798785061915E-5
20110124T12,-4.178553756164581E-5
20110124T13,-3.575476186061649E-5
20110124T14,-3.026037128864299E-5
20110124T15,-1.94263830890456E-5
20110124T16,-6.608209070131479E-6
20110124T17,-2.5673104494436615E-6
20110124T18,-9.180168612742082E-7
20110124T19,-6.350146874187205E-7
20110124T20,1.5809741715322706E-7
20110124T21,1.2736779448641807E-7
20110124T22,6.409697656347007E-7
20110124T23,3.2837975894233156E-6
20110125T00,4.985305373652039E-6
20110125T01,3.944447364804221E-6
20110125T02,1.4618490103936825E-6
20110125T03,1.3553201502189923E-6
20110125T04,5.624884196722661E-7
20110125T05,1.8782022099737236E-8
20110125T06,-1.95968941683763E-6
20110125T07,2.3068265948271126E-6
20110125T08,-4.5283827426485545E-6
20110125T09,-2.421885375838937E-5
20110125T10,-4.3015942499193376E-5
20110125T11,-5.869805522819809E-5
20110125T12,-6.017592718380926E-5
20110125T13,-5.756470957680789E-5
20110125T14,-3.530722095079415E-5
20110125T15,-2.4250377104368555E-5
20110125T16,-1.52555639541405E-5
20110125T17,-6.643092450607181E-6
20110125T18,-3.941600331140957E-6
20110125T19,-2.0022868798274193E-6
20110125T20,-2.942175110802748E-7
20110125T21,-1.0901610951060204E-7
20110125T22,6.900504715491418E-7
20110125T23,1.174385878816418E-6
20110126T00,1.56899274614694E-6
20110126T01,1.8047614455682489E-6
20110126T02,8.69719521538155E-7
20110126T03,9.777173469171493E-7
20110126T04,9.419347605342015E-7
20110126T05,8.056424362973382E-7
20110126T06,4.6443516034627037E-7
20110126T07,2.763524795081972E-7
20110126T08,-6.671929755952381E-7
20110126T09,-6.041556254051479E-6
20110126T10,-1.6199990741391754E-5
20110126T11,-3.304376749430493E-5
20110126T12,-4.237024929885853E-5
20110126T13,-3.4860267552224606E-5
20110126T14,-2.739156366548812E-5
20110126T15,-1.9121813149674262E-5
20110126T16,-9.550965785911908E-6
20110126T17,-6.3408751570690655E-6
20110126T18,-5.770158900554543E-6
20110126T19,1.1832145352795406E-6
20110126T20,2.439428840587036E-6
20110126T21,3.423169300922178E-6
20110126T22,2.780391784096397E-6
20110126T23,2.0819698976390276E-6
20110127T00,1.9555630964212214E-6
20110127T01,4.965359300030639E-7
20110127T02,7.515365861298227E-7
20110127T03,1.2146260607567258E-6
20110127T04,3.537623673022473E-6
20110127T05,1.371061412343647E-6
20110127T06,2.0273105273457778E-7
20110127T07,1.223183976467663E-6
20110127T08,-2.6684324565636714E-6
20110127T09,-2.7825250878870384E-5
20110127T10,-5.122937043745008E-5
20110127T11,-6.717408846354383E-5
20110127T12,-6.559812246079573E-5
20110127T13,-7.0834276380241E-5
20110127T14,-6.135928300913202E-5
20110127T15,-4.782891720373463E-5
20110127T16,-2.6254974382621016E-5
20110127T17,-1.2381293280556108E-5
20110127T18,-9.986524393541381E-6
20110127T19,-8.056069405026286E-6
20110127T20,-1.0265824663527542E-5
20110127T21,-1.0521426570454696E-5
20110127T22,-9.642936715746478E-6
20110127T23,-7.890308681925124E-6
20110128T00,-5.993014130903569E-6
