system:index,ET
2016_06_09,233.1758359114651
2016_06_17,286.6764688577868
2016_06_25,265.8597815791119
2016_07_03,264.28079760997036
2016_07_11,242.42887563812
2016_07_19,256.0337460047402
2016_07_27,236.39234559178553
2016_08_04,202.31799993753876
2016_08_12,237.86567243099887
2016_08_20,213.55192838067043
2016_08_28,185.14147388308123
2016_09_05,179.1189068490518
2016_09_13,130.95485260586815
2016_09_21,127.89317053205164
2016_09_29,88.11703132886574
2016_10_07,64.69888798290525
2016_10_15,60.99654108619692
2016_10_23,58.04650328620135
2016_10_31,37.78082580161763
2016_11_08,29.760376517361077
2016_11_16,36.60173171187847
2016_11_24,36.81473042374657
2016_12_02,23.57308273560553
2016_12_10,23.240872486618137
2016_12_18,18.596391736573562
2016_12_26,14.990325404069948
2017_01_01,25.847976550642716
2017_01_09,22.878170616391387
2017_01_17,31.67453638937946
2017_01_25,31.111424261257266
2017_02_02,37.8742879893667
2017_02_10,49.622041638034716
